hdbscan_final,leiden_target14_final,true_label
25,3,beta
27,4,ductal
25,3,beta
25,3,beta
25,7,delta
27,4,ductal
25,0,alpha
27,4,ductal
25,3,beta
23,9,gamma
27,4,ductal
25,3,beta
23,9,gamma
25,7,delta
25,2,alpha
23,9,gamma
25,0,alpha
25,3,beta
9,12,macrophage
25,3,beta
25,3,beta
27,8,quiescent_stellate
25,7,delta
25,3,beta
25,0,alpha
25,3,beta
25,0,alpha
25,3,beta
25,3,beta
23,9,gamma
25,0,alpha
27,3,beta
25,3,beta
25,3,beta
25,5,beta
9,12,macrophage
25,3,beta
25,7,delta
25,3,beta
23,9,gamma
27,9,epsilon
25,7,delta
25,0,alpha
25,5,beta
25,3,beta
25,7,delta
25,0,alpha
27,10,endothelial
25,5,beta
27,8,activated_stellate
27,1,acinar
25,3,beta
22,1,acinar
25,0,alpha
23,9,gamma
27,12,macrophage
25,3,beta
25,3,beta
22,1,acinar
25,3,beta
25,3,beta
25,0,alpha
25,7,delta
25,3,beta
27,13,ductal
25,0,alpha
25,3,beta
25,7,delta
25,5,beta
25,5,beta
22,1,acinar
25,3,beta
25,6,beta
25,3,beta
25,0,alpha
25,0,alpha
25,0,alpha
27,4,ductal
25,0,alpha
27,1,acinar
22,1,acinar
25,3,beta
25,7,delta
27,8,quiescent_stellate
25,2,alpha
25,7,delta
25,5,beta
27,4,ductal
25,5,beta
25,3,beta
25,3,beta
25,3,beta
7,8,quiescent_stellate
27,10,endothelial
22,1,acinar
27,8,activated_stellate
25,7,delta
25,5,beta
25,0,alpha
16,10,endothelial
27,10,endothelial
25,0,alpha
25,3,beta
23,9,gamma
25,3,beta
27,13,ductal
27,8,activated_stellate
25,0,alpha
25,3,beta
25,3,beta
25,0,alpha
22,1,acinar
27,8,quiescent_stellate
25,3,beta
25,0,alpha
27,3,beta
27,13,ductal
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
27,8,quiescent_stellate
25,3,beta
25,3,beta
2,8,schwann
27,10,endothelial
25,3,beta
25,3,beta
27,4,ductal
23,9,gamma
25,2,alpha
23,9,gamma
25,2,alpha
27,8,quiescent_stellate
16,10,endothelial
27,8,quiescent_stellate
25,7,delta
25,3,beta
27,13,ductal
27,10,endothelial
25,5,beta
25,7,delta
27,8,activated_stellate
27,10,endothelial
22,1,acinar
27,10,endothelial
25,7,delta
23,9,gamma
27,8,activated_stellate
27,10,endothelial
25,3,beta
27,13,ductal
25,3,beta
25,6,beta
25,0,alpha
25,0,alpha
25,5,beta
27,13,ductal
25,5,beta
25,0,alpha
27,10,endothelial
27,10,endothelial
25,3,beta
27,10,endothelial
16,10,endothelial
25,0,alpha
27,8,quiescent_stellate
27,4,ductal
25,3,beta
27,8,quiescent_stellate
27,7,epsilon
25,7,delta
9,12,macrophage
27,9,gamma
27,4,ductal
25,0,alpha
25,3,beta
25,0,alpha
27,10,endothelial
25,3,beta
23,9,gamma
25,3,beta
25,3,beta
27,8,quiescent_stellate
25,0,alpha
25,3,beta
23,9,gamma
25,0,alpha
25,0,alpha
25,5,beta
16,10,endothelial
25,5,beta
27,8,quiescent_stellate
27,10,endothelial
25,5,beta
25,3,beta
25,5,beta
25,3,beta
27,4,ductal
27,8,beta
25,0,alpha
27,8,quiescent_stellate
25,3,beta
17,10,endothelial
25,3,beta
27,13,ductal
18,4,ductal
25,5,beta
27,8,activated_stellate
25,3,beta
27,4,ductal
25,3,beta
16,10,endothelial
25,3,beta
25,3,beta
27,1,acinar
25,0,alpha
2,8,schwann
25,3,beta
25,3,beta
7,8,quiescent_stellate
25,3,beta
23,9,gamma
27,10,endothelial
25,3,beta
8,12,mast
25,3,beta
23,9,gamma
27,8,quiescent_stellate
25,3,beta
25,3,beta
25,3,beta
16,10,endothelial
25,3,beta
25,0,alpha
7,8,quiescent_stellate
27,8,activated_stellate
25,3,beta
25,0,alpha
27,10,endothelial
7,8,quiescent_stellate
17,10,endothelial
17,10,endothelial
27,10,endothelial
16,10,endothelial
27,4,ductal
25,3,beta
27,4,ductal
7,8,quiescent_stellate
25,3,beta
27,10,endothelial
27,10,endothelial
25,0,alpha
27,8,quiescent_stellate
25,0,alpha
22,1,acinar
23,9,gamma
27,10,endothelial
25,3,beta
27,8,quiescent_stellate
27,8,activated_stellate
25,3,beta
25,3,beta
16,10,endothelial
25,0,alpha
27,8,quiescent_stellate
27,8,quiescent_stellate
27,8,quiescent_stellate
27,8,quiescent_stellate
16,10,endothelial
25,3,beta
7,8,quiescent_stellate
25,3,beta
7,8,quiescent_stellate
7,8,quiescent_stellate
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
16,10,endothelial
25,0,alpha
25,3,beta
16,10,endothelial
27,10,endothelial
27,8,activated_stellate
25,0,alpha
25,3,beta
25,3,beta
27,1,acinar
27,8,quiescent_stellate
17,10,endothelial
16,10,endothelial
27,10,endothelial
25,3,delta
16,10,endothelial
25,0,alpha
25,3,beta
27,8,quiescent_stellate
16,10,endothelial
27,8,quiescent_stellate
25,0,alpha
27,8,quiescent_stellate
27,1,acinar
27,11,acinar
25,7,delta
27,1,acinar
27,8,activated_stellate
22,1,acinar
22,1,acinar
25,7,delta
25,7,delta
25,7,delta
27,1,acinar
25,3,beta
5,8,activated_stellate
25,7,delta
25,7,delta
25,7,delta
25,7,delta
25,3,beta
27,7,delta
27,1,acinar
5,8,activated_stellate
5,8,activated_stellate
25,7,delta
25,3,beta
22,1,acinar
27,7,delta
25,3,beta
25,7,delta
27,11,ductal
22,1,acinar
22,1,acinar
25,7,delta
25,3,beta
25,3,beta
27,3,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,7,delta
25,7,delta
25,7,delta
27,1,acinar
27,4,ductal
25,7,delta
5,8,activated_stellate
25,3,beta
27,8,activated_stellate
25,2,alpha
25,7,delta
25,3,beta
25,3,beta
25,3,beta
27,1,acinar
25,7,delta
18,4,ductal
27,12,macrophage
25,7,delta
25,5,beta
25,3,beta
25,7,delta
25,7,delta
25,3,beta
25,7,delta
25,3,beta
25,7,delta
27,1,acinar
27,7,delta
25,3,beta
27,1,acinar
25,3,beta
25,3,beta
27,13,ductal
25,7,delta
25,7,delta
25,3,beta
25,7,delta
25,7,delta
25,3,beta
25,2,alpha
25,3,beta
27,11,acinar
25,0,alpha
25,2,alpha
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,0,alpha
25,7,delta
25,2,alpha
25,3,beta
25,7,delta
25,3,beta
27,8,activated_stellate
25,3,beta
25,5,beta
25,7,delta
25,7,delta
27,13,ductal
27,11,acinar
22,1,acinar
25,7,delta
27,4,ductal
25,7,delta
25,3,beta
27,4,ductal
25,5,beta
25,3,beta
25,3,beta
25,3,beta
25,0,alpha
25,3,beta
25,3,beta
25,5,beta
25,3,beta
25,3,beta
25,2,alpha
22,1,acinar
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
27,8,activated_stellate
25,3,beta
25,7,delta
25,3,beta
27,1,acinar
25,3,beta
25,3,beta
5,8,activated_stellate
25,0,alpha
25,3,beta
25,3,beta
27,8,quiescent_stellate
5,8,activated_stellate
27,1,acinar
25,3,beta
25,2,alpha
25,7,delta
27,1,acinar
25,3,beta
25,3,beta
25,3,beta
25,3,beta
27,4,ductal
25,3,beta
22,1,acinar
25,3,beta
25,5,beta
25,5,beta
25,3,beta
25,3,beta
25,3,beta
25,0,alpha
27,1,acinar
25,3,beta
25,5,beta
25,2,alpha
25,3,beta
25,3,beta
23,9,gamma
25,7,delta
27,12,macrophage
25,2,alpha
25,7,delta
25,3,beta
27,4,ductal
27,4,ductal
25,0,alpha
25,3,beta
25,5,beta
27,1,acinar
27,10,endothelial
25,2,alpha
23,9,gamma
25,3,beta
27,8,quiescent_stellate
25,3,beta
25,7,delta
25,3,beta
27,4,ductal
25,3,beta
25,0,alpha
25,3,beta
25,7,delta
25,5,beta
25,0,alpha
27,8,quiescent_stellate
27,4,ductal
25,7,delta
25,3,beta
25,3,beta
25,7,delta
25,0,alpha
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,7,delta
27,4,ductal
18,4,ductal
25,3,beta
25,3,beta
25,3,beta
25,3,beta
16,10,endothelial
25,3,beta
25,3,beta
25,2,alpha
25,3,beta
25,3,beta
25,2,alpha
25,3,beta
27,1,acinar
25,7,delta
25,3,beta
25,3,beta
27,4,ductal
27,4,ductal
25,3,beta
27,0,alpha
25,3,beta
25,3,beta
18,4,ductal
25,2,alpha
5,8,activated_stellate
25,3,beta
25,0,alpha
27,4,ductal
25,7,delta
25,0,alpha
23,9,gamma
25,3,beta
27,8,activated_stellate
27,13,ductal
27,0,beta
25,3,beta
5,8,activated_stellate
25,3,beta
25,7,delta
27,8,activated_stellate
25,3,beta
23,9,gamma
25,3,beta
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,0,alpha
25,3,beta
25,2,alpha
25,7,epsilon
27,8,activated_stellate
25,3,beta
25,2,alpha
27,13,ductal
25,2,alpha
25,3,beta
25,3,beta
25,7,delta
27,4,ductal
25,3,beta
25,0,alpha
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,5,beta
27,8,activated_stellate
25,2,alpha
25,5,beta
27,4,ductal
25,7,delta
25,2,alpha
25,0,alpha
25,5,beta
25,3,beta
27,3,beta
25,7,delta
25,0,alpha
25,5,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,0,alpha
25,5,beta
23,9,gamma
25,3,beta
27,8,activated_stellate
25,3,beta
25,2,alpha
25,0,alpha
25,3,beta
25,3,beta
25,7,delta
25,3,beta
25,5,beta
27,3,beta
25,3,beta
25,3,beta
25,3,beta
27,8,quiescent_stellate
27,4,ductal
27,13,ductal
25,7,delta
25,0,alpha
27,3,beta
25,5,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
23,9,gamma
25,3,beta
25,5,beta
23,9,gamma
27,2,alpha
25,3,beta
25,0,alpha
25,2,alpha
25,3,beta
25,7,delta
25,3,beta
25,3,beta
25,5,beta
25,3,beta
27,10,endothelial
25,3,beta
27,8,quiescent_stellate
25,3,beta
25,3,beta
25,2,alpha
27,4,ductal
25,3,beta
25,3,beta
23,9,gamma
25,0,alpha
23,9,gamma
25,3,beta
25,3,beta
25,0,alpha
27,0,alpha
27,4,ductal
25,3,beta
27,2,alpha
25,3,beta
25,7,delta
27,4,ductal
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
25,3,beta
27,13,ductal
25,3,beta
25,0,alpha
25,5,beta
25,3,beta
25,0,alpha
22,1,acinar
22,1,acinar
25,3,beta
25,3,beta
25,5,beta
25,2,alpha
25,2,alpha
25,0,alpha
25,2,alpha
25,3,beta
25,0,alpha
25,3,beta
25,2,alpha
25,3,beta
25,5,beta
25,3,beta
25,0,alpha
25,7,delta
25,0,alpha
25,3,beta
25,3,beta
25,3,beta
27,2,alpha
23,9,gamma
22,1,acinar
25,3,beta
27,13,ductal
25,7,delta
25,3,beta
27,4,ductal
23,9,gamma
25,3,beta
27,8,quiescent_stellate
27,4,ductal
25,7,delta
23,9,gamma
25,3,beta
25,3,beta
25,3,beta
27,0,gamma
27,4,ductal
25,0,alpha
27,1,acinar
27,4,ductal
27,10,endothelial
25,0,alpha
27,10,endothelial
25,3,beta
25,3,beta
25,5,beta
25,3,beta
25,0,alpha
25,5,beta
27,4,ductal
27,13,ductal
25,3,beta
25,3,beta
23,9,gamma
25,3,beta
27,8,quiescent_stellate
27,4,ductal
25,3,beta
27,1,acinar
27,4,ductal
27,10,endothelial
22,1,acinar
23,9,gamma
25,5,beta
25,3,beta
27,8,quiescent_stellate
25,3,beta
25,3,beta
27,7,epsilon
25,3,beta
25,0,alpha
25,0,alpha
25,7,delta
25,3,beta
27,9,epsilon
25,5,beta
25,0,alpha
25,3,beta
25,5,beta
23,9,gamma
27,1,acinar
25,5,beta
25,0,alpha
25,3,beta
25,0,alpha
18,4,ductal
25,0,alpha
25,5,beta
25,5,beta
23,9,gamma
25,3,beta
25,3,beta
25,7,delta
25,7,delta
25,7,delta
7,8,quiescent_stellate
25,3,beta
25,3,beta
25,0,alpha
25,3,beta
25,2,alpha
25,0,alpha
25,3,beta
25,3,beta
25,3,beta
25,0,alpha
25,5,beta
25,5,beta
27,8,quiescent_stellate
25,2,alpha
27,10,endothelial
23,9,gamma
25,3,beta
25,3,beta
7,8,quiescent_stellate
25,3,beta
25,0,alpha
25,7,delta
25,3,beta
22,1,acinar
25,3,beta
16,10,endothelial
27,10,endothelial
25,5,beta
25,3,beta
25,0,alpha
25,3,beta
8,12,mast
25,3,beta
25,2,alpha
16,10,endothelial
25,0,beta
25,3,beta
25,3,beta
27,10,endothelial
25,7,alpha
25,3,beta
25,3,beta
25,3,beta
25,5,beta
27,2,alpha
8,12,mast
25,6,beta
27,9,epsilon
10,10,endothelial
27,8,quiescent_stellate
25,0,alpha
27,8,alpha
25,7,beta
25,3,beta
22,1,acinar
27,7,delta
27,1,acinar
25,3,beta
25,3,beta
16,10,endothelial
25,3,beta
27,12,macrophage
22,1,acinar
7,8,quiescent_stellate
25,3,beta
25,3,beta
25,3,beta
10,10,endothelial
25,5,beta
25,3,beta
27,4,ductal
25,5,beta
25,5,beta
27,8,quiescent_stellate
25,3,beta
27,1,acinar
25,5,beta
25,7,delta
25,3,beta
25,3,beta
25,3,beta
25,5,beta
7,8,quiescent_stellate
25,0,alpha
27,10,endothelial
25,3,beta
25,5,delta
23,9,gamma
25,3,beta
27,8,quiescent_stellate
27,10,endothelial
25,0,alpha
25,3,beta
27,13,ductal
25,3,beta
25,3,beta
25,3,beta
27,8,quiescent_stellate
25,5,beta
27,9,epsilon
27,0,beta
27,1,beta
25,0,alpha
25,5,beta
27,10,endothelial
27,10,endothelial
27,8,quiescent_stellate
25,5,beta
25,3,beta
27,7,epsilon
27,8,quiescent_stellate
25,6,beta
8,12,mast
