hdbscan_final,leiden_target14_final,true_label
12,4,beta
5,0,alpha
12,1,beta
5,0,alpha
12,1,beta
12,4,beta
9,6,delta
9,6,delta
12,1,beta
12,4,beta
12,1,beta
7,11,ductal
6,2,acinar
12,1,beta
12,1,alpha
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
1,7,quiescent_stellate
12,1,beta
8,9,gamma
12,1,beta
8,9,gamma
0,10,endothelial
12,1,beta
5,0,alpha
2,7,schwann
12,1,beta
1,7,quiescent_stellate
0,10,endothelial
8,9,gamma
12,1,beta
12,1,beta
5,0,alpha
5,0,alpha
8,9,gamma
12,1,beta
12,4,beta
9,6,delta
6,2,acinar
6,2,acinar
8,9,gamma
4,5,ductal
4,5,ductal
0,10,endothelial
9,6,delta
12,4,beta
12,1,beta
0,10,endothelial
5,3,alpha
6,2,acinar
0,10,endothelial
0,10,endothelial
5,0,alpha
12,4,beta
12,1,beta
8,9,gamma
12,1,beta
5,3,alpha
12,4,beta
12,4,beta
12,1,beta
12,4,beta
12,1,beta
9,6,delta
12,4,beta
1,7,quiescent_stellate
1,7,activated_stellate
12,1,beta
5,0,alpha
12,4,beta
8,9,gamma
1,7,quiescent_stellate
12,1,beta
5,0,alpha
1,7,quiescent_stellate
0,10,endothelial
12,1,beta
4,5,ductal
0,10,endothelial
7,11,ductal
6,2,acinar
5,0,alpha
9,6,delta
9,6,beta
11,12,macrophage
4,5,ductal
0,10,endothelial
0,10,endothelial
8,9,gamma
0,10,endothelial
0,10,endothelial
12,4,beta
12,4,beta
8,9,gamma
5,3,beta
3,13,mast
12,4,beta
0,10,endothelial
8,9,gamma
1,7,quiescent_stellate
5,3,alpha
12,1,beta
5,3,alpha
6,2,acinar
7,11,ductal
12,1,beta
12,4,beta
7,11,ductal
12,1,beta
12,1,beta
4,5,ductal
6,2,acinar
0,10,endothelial
12,1,beta
9,6,beta
12,1,beta
4,5,ductal
1,7,activated_stellate
12,1,beta
1,7,quiescent_stellate
6,2,acinar
8,9,gamma
1,7,quiescent_stellate
0,10,endothelial
0,10,endothelial
5,3,alpha
1,7,quiescent_stellate
12,1,beta
6,2,acinar
12,4,beta
0,10,endothelial
0,10,endothelial
12,4,beta
6,2,acinar
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
12,4,beta
12,1,beta
12,1,beta
12,4,beta
8,9,gamma
4,5,ductal
12,1,beta
8,9,gamma
12,1,beta
9,6,delta
12,1,beta
12,1,beta
8,9,gamma
1,7,quiescent_stellate
9,6,delta
12,1,beta
9,6,delta
1,7,quiescent_stellate
9,6,delta
12,1,beta
5,0,alpha
9,6,delta
5,3,alpha
1,7,quiescent_stellate
1,7,quiescent_stellate
12,4,beta
0,10,endothelial
0,10,endothelial
1,7,activated_stellate
12,1,beta
5,0,alpha
9,6,delta
12,1,beta
0,10,endothelial
5,3,alpha
1,7,quiescent_stellate
12,1,beta
0,10,endothelial
1,7,activated_stellate
8,9,gamma
12,1,beta
1,7,quiescent_stellate
12,1,beta
0,10,endothelial
8,9,gamma
12,1,beta
12,4,beta
5,0,alpha
0,10,endothelial
8,9,gamma
12,1,beta
12,1,beta
12,4,beta
9,6,beta
0,10,endothelial
3,13,mast
12,1,beta
12,1,beta
0,10,endothelial
12,1,beta
0,10,endothelial
12,4,beta
0,10,endothelial
12,1,beta
1,7,quiescent_stellate
0,10,endothelial
0,10,endothelial
12,1,beta
0,10,endothelial
1,7,quiescent_stellate
12,1,beta
5,0,alpha
4,5,ductal
0,10,endothelial
12,4,beta
12,1,beta
0,10,endothelial
12,1,beta
12,1,beta
12,1,beta
0,10,endothelial
10,12,macrophage
0,10,endothelial
4,5,ductal
12,1,beta
4,5,ductal
0,10,endothelial
1,7,quiescent_stellate
12,1,beta
0,10,endothelial
0,10,endothelial
12,4,beta
0,10,endothelial
0,10,endothelial
5,0,alpha
4,5,ductal
12,1,beta
6,2,delta
9,6,delta
9,6,delta
6,2,acinar
6,2,acinar
6,2,acinar
6,2,acinar
9,6,delta
6,2,acinar
6,2,ductal
5,0,alpha
9,6,delta
9,6,delta
9,6,delta
9,6,delta
6,2,acinar
12,1,beta
6,2,acinar
0,10,endothelial
9,6,delta
12,4,beta
9,6,delta
5,0,alpha
7,11,ductal
9,6,delta
9,6,delta
12,1,beta
9,6,delta
12,1,beta
12,4,beta
9,6,delta
8,9,gamma
12,1,beta
9,6,delta
12,4,beta
9,6,delta
12,1,beta
5,3,alpha
12,1,beta
9,6,delta
9,6,delta
12,1,beta
9,6,delta
9,6,delta
7,11,ductal
12,1,beta
9,6,delta
9,6,delta
5,0,alpha
12,1,beta
5,0,alpha
5,3,alpha
12,1,beta
6,2,acinar
12,1,beta
12,4,beta
12,1,beta
9,6,delta
1,7,activated_stellate
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
5,3,alpha
4,5,ductal
6,2,acinar
9,6,delta
12,1,beta
12,1,beta
12,1,beta
6,2,acinar
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
9,6,delta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
6,2,acinar
12,1,beta
12,1,beta
12,1,beta
5,0,alpha
0,10,endothelial
12,1,beta
9,6,delta
12,1,beta
9,6,delta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
9,6,delta
4,5,ductal
12,1,beta
12,1,beta
4,5,ductal
12,1,beta
12,1,beta
12,4,beta
12,1,beta
6,2,acinar
6,2,acinar
12,1,beta
5,0,alpha
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,4,beta
12,1,beta
12,4,beta
4,5,ductal
12,1,beta
6,2,acinar
12,1,beta
6,2,acinar
12,1,beta
4,5,ductal
12,1,beta
1,7,activated_stellate
5,0,alpha
12,1,beta
9,6,delta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
6,2,acinar
12,4,beta
12,1,beta
12,1,beta
9,6,delta
12,4,beta
4,5,ductal
12,1,beta
12,1,beta
4,5,ductal
10,12,macrophage
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
12,1,beta
1,7,activated_stellate
12,1,beta
12,1,beta
4,5,ductal
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
5,3,alpha
12,4,beta
12,1,beta
6,2,acinar
12,4,beta
12,4,beta
12,1,beta
12,1,beta
7,11,ductal
12,1,beta
9,6,delta
12,1,beta
5,0,alpha
12,4,beta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
12,1,beta
12,4,beta
8,9,gamma
12,1,beta
12,1,beta
9,6,delta
4,5,ductal
12,1,beta
12,4,beta
12,4,beta
9,6,delta
12,1,beta
4,5,ductal
12,4,beta
12,1,beta
12,1,beta
12,1,beta
4,5,ductal
1,7,activated_stellate
12,4,beta
5,0,alpha
12,1,beta
12,1,beta
1,7,activated_stellate
5,0,alpha
6,2,acinar
8,9,gamma
12,1,beta
12,1,beta
12,1,beta
9,6,delta
5,0,alpha
0,10,endothelial
8,9,gamma
12,1,beta
5,3,alpha
12,1,beta
12,1,beta
12,1,beta
9,6,beta
12,4,beta
0,10,endothelial
12,1,beta
9,6,delta
12,1,beta
5,0,alpha
12,1,beta
5,0,alpha
5,3,alpha
9,6,delta
5,0,alpha
4,5,ductal
12,1,beta
5,3,alpha
0,10,endothelial
12,1,beta
12,1,beta
7,11,ductal
9,6,delta
12,1,beta
12,1,beta
5,0,alpha
5,0,alpha
9,6,delta
8,9,gamma
5,0,alpha
12,1,beta
5,0,alpha
4,5,ductal
12,1,beta
8,9,gamma
12,1,beta
2,7,schwann
9,6,delta
12,1,beta
5,0,alpha
9,6,delta
12,1,beta
6,2,acinar
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
5,0,alpha
12,1,beta
12,4,beta
10,12,macrophage
8,9,gamma
12,4,beta
12,4,beta
5,0,alpha
6,2,acinar
0,10,endothelial
5,0,alpha
12,1,beta
5,0,alpha
5,0,alpha
5,0,alpha
12,4,beta
12,1,beta
5,0,alpha
5,0,alpha
10,12,macrophage
5,0,alpha
12,4,beta
12,1,beta
12,4,beta
5,3,alpha
1,7,activated_stellate
9,6,delta
5,3,alpha
5,0,alpha
0,10,endothelial
12,1,beta
1,7,delta
12,1,beta
12,4,beta
12,4,beta
4,5,ductal
12,4,beta
4,5,ductal
12,1,beta
12,1,beta
1,7,activated_stellate
12,1,beta
4,5,ductal
12,1,beta
12,1,beta
9,6,delta
4,5,ductal
5,0,alpha
4,5,ductal
12,4,beta
8,9,gamma
4,5,ductal
12,1,beta
8,9,gamma
9,6,delta
5,3,alpha
8,9,gamma
5,0,alpha
12,1,beta
10,12,macrophage
12,1,beta
12,1,beta
1,7,quiescent_stellate
9,6,delta
12,1,beta
5,0,alpha
12,1,beta
5,0,alpha
12,1,beta
12,1,beta
8,9,gamma
5,0,alpha
12,4,beta
12,1,beta
12,1,beta
12,4,beta
10,12,macrophage
12,1,beta
9,6,delta
12,1,beta
8,9,gamma
8,9,epsilon
9,6,delta
5,0,alpha
12,4,beta
12,1,beta
9,6,delta
5,0,alpha
0,10,endothelial
12,4,beta
1,7,activated_stellate
6,2,acinar
12,1,beta
6,2,acinar
5,0,alpha
8,9,gamma
10,12,macrophage
12,1,beta
12,1,beta
6,2,acinar
12,1,beta
12,1,beta
5,0,alpha
9,6,delta
12,1,beta
7,11,ductal
5,0,alpha
12,1,beta
9,6,delta
12,4,beta
12,4,beta
6,2,acinar
12,1,beta
12,1,beta
12,1,beta
5,3,alpha
5,0,alpha
5,3,alpha
4,5,ductal
5,0,alpha
6,2,acinar
6,2,acinar
12,1,beta
9,6,delta
1,7,quiescent_stellate
5,3,alpha
9,6,delta
12,4,beta
4,5,ductal
12,4,beta
12,1,beta
12,1,beta
12,1,beta
1,7,quiescent_stellate
0,10,endothelial
6,2,acinar
1,7,activated_stellate
9,6,delta
12,4,beta
5,0,alpha
0,10,endothelial
0,10,endothelial
5,3,alpha
12,1,beta
8,9,gamma
12,1,beta
7,11,ductal
1,7,activated_stellate
5,0,alpha
12,1,beta
12,4,beta
5,0,alpha
6,2,acinar
1,7,quiescent_stellate
12,1,beta
5,0,alpha
12,1,beta
7,11,ductal
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
1,7,quiescent_stellate
12,1,beta
12,1,beta
2,7,schwann
0,10,endothelial
12,4,beta
12,1,beta
4,5,ductal
8,9,gamma
5,0,alpha
8,9,gamma
5,3,alpha
1,7,quiescent_stellate
0,10,endothelial
1,7,quiescent_stellate
9,6,delta
12,1,beta
7,11,ductal
0,10,endothelial
12,4,beta
9,6,delta
1,7,activated_stellate
0,10,endothelial
6,2,acinar
0,10,endothelial
9,6,delta
8,9,gamma
1,7,activated_stellate
0,10,endothelial
12,1,beta
7,11,ductal
12,1,beta
12,1,beta
5,0,alpha
5,0,alpha
12,4,beta
7,11,ductal
12,4,beta
5,3,alpha
0,10,endothelial
0,10,endothelial
12,1,beta
0,10,endothelial
0,10,endothelial
5,0,alpha
1,7,quiescent_stellate
4,5,ductal
12,1,beta
1,7,quiescent_stellate
9,6,epsilon
9,6,delta
10,12,macrophage
8,9,gamma
4,5,ductal
5,0,alpha
12,1,beta
5,0,alpha
0,10,endothelial
12,1,beta
8,9,gamma
12,1,beta
12,1,beta
1,7,quiescent_stellate
5,0,alpha
12,1,beta
8,9,gamma
5,0,alpha
5,0,alpha
12,4,beta
0,10,endothelial
12,4,beta
1,7,quiescent_stellate
0,10,endothelial
12,4,beta
12,1,beta
12,4,beta
12,1,beta
4,5,ductal
1,7,beta
5,0,alpha
1,7,quiescent_stellate
12,1,beta
0,10,endothelial
12,1,beta
7,11,ductal
4,5,ductal
12,4,beta
1,7,activated_stellate
12,1,beta
4,5,ductal
12,1,beta
0,10,endothelial
12,1,beta
12,1,beta
6,2,acinar
5,0,alpha
2,7,schwann
12,1,beta
12,1,beta
1,7,quiescent_stellate
12,1,beta
8,9,gamma
0,10,endothelial
12,1,beta
3,13,mast
12,1,beta
8,9,gamma
1,7,quiescent_stellate
12,1,beta
12,4,beta
12,1,beta
0,10,endothelial
12,1,beta
5,0,alpha
1,7,quiescent_stellate
1,7,activated_stellate
12,4,beta
5,3,alpha
0,10,endothelial
1,7,quiescent_stellate
0,10,endothelial
0,10,endothelial
0,10,endothelial
0,10,endothelial
4,5,ductal
12,1,beta
4,5,ductal
1,7,quiescent_stellate
12,1,beta
0,10,endothelial
0,10,endothelial
5,0,alpha
1,7,quiescent_stellate
5,0,alpha
6,2,acinar
8,9,gamma
0,10,endothelial
12,1,beta
1,7,quiescent_stellate
1,7,activated_stellate
12,1,beta
12,1,beta
0,10,endothelial
5,0,alpha
1,7,quiescent_stellate
1,7,quiescent_stellate
1,7,quiescent_stellate
1,7,quiescent_stellate
0,10,endothelial
12,4,beta
1,7,quiescent_stellate
12,4,beta
1,7,quiescent_stellate
1,7,quiescent_stellate
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
0,10,endothelial
5,0,alpha
12,1,beta
0,10,endothelial
0,10,endothelial
1,7,activated_stellate
5,0,alpha
12,1,beta
12,1,beta
6,2,acinar
1,7,quiescent_stellate
0,10,endothelial
0,10,endothelial
0,10,endothelial
12,1,delta
0,10,endothelial
5,3,alpha
12,1,beta
1,7,quiescent_stellate
0,10,endothelial
1,7,quiescent_stellate
5,0,alpha
1,7,quiescent_stellate
6,2,acinar
6,2,acinar
9,6,delta
6,2,acinar
1,7,activated_stellate
6,2,acinar
6,2,acinar
9,6,delta
9,6,delta
9,6,delta
6,2,acinar
12,1,beta
1,7,activated_stellate
9,6,delta
9,6,delta
9,6,delta
9,6,delta
12,1,beta
9,6,delta
6,2,acinar
1,7,activated_stellate
1,7,activated_stellate
9,6,delta
12,1,beta
6,2,acinar
9,6,delta
12,1,beta
9,6,delta
6,2,ductal
6,2,acinar
6,2,acinar
9,6,delta
12,1,beta
12,4,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,4,beta
9,6,delta
9,6,delta
9,6,delta
6,2,acinar
4,5,ductal
9,6,delta
1,7,activated_stellate
12,1,beta
1,7,activated_stellate
5,3,alpha
9,6,delta
12,4,beta
12,1,beta
12,1,beta
6,2,acinar
9,6,delta
4,5,ductal
10,12,macrophage
9,6,delta
12,4,beta
12,1,beta
9,6,delta
9,6,delta
12,4,beta
9,6,delta
12,1,beta
9,6,delta
6,2,acinar
9,6,delta
12,1,beta
6,2,acinar
12,1,beta
12,1,beta
7,11,ductal
9,6,delta
9,6,delta
12,1,beta
9,6,delta
9,6,delta
12,1,beta
5,3,alpha
12,1,beta
6,2,acinar
5,0,alpha
5,0,alpha
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
5,3,alpha
9,6,delta
5,3,alpha
12,4,beta
9,6,delta
12,1,beta
1,7,activated_stellate
12,1,beta
12,4,beta
9,6,delta
9,6,delta
7,11,ductal
6,2,acinar
6,2,acinar
9,6,delta
4,5,ductal
9,6,delta
12,1,beta
4,5,ductal
12,4,beta
12,1,beta
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
12,1,beta
12,4,beta
12,1,beta
12,1,beta
5,0,alpha
6,2,acinar
12,1,beta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
1,7,activated_stellate
12,1,beta
9,6,delta
12,1,beta
6,2,acinar
12,4,beta
12,1,beta
1,7,activated_stellate
5,0,alpha
12,4,beta
12,1,beta
1,7,quiescent_stellate
1,7,activated_stellate
6,2,acinar
12,1,beta
5,3,alpha
9,6,delta
6,2,acinar
12,1,beta
12,1,beta
12,1,beta
12,1,beta
4,5,ductal
12,1,beta
6,2,acinar
12,1,beta
12,4,beta
12,4,beta
12,1,beta
12,1,beta
12,1,beta
5,0,alpha
6,2,acinar
12,1,beta
12,4,beta
5,0,alpha
12,1,beta
12,1,beta
8,9,gamma
9,6,delta
10,12,macrophage
5,0,alpha
9,6,delta
12,1,beta
4,5,ductal
4,5,ductal
5,3,alpha
12,1,beta
12,4,beta
6,2,acinar
0,10,endothelial
5,3,alpha
8,9,gamma
12,1,beta
1,7,quiescent_stellate
12,1,beta
9,6,delta
12,1,beta
4,5,ductal
12,1,beta
5,3,alpha
12,4,beta
9,6,delta
12,4,beta
5,0,alpha
1,7,quiescent_stellate
4,5,ductal
9,6,delta
12,1,beta
12,1,beta
9,6,delta
5,0,alpha
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
9,6,delta
4,5,ductal
4,5,ductal
12,1,beta
12,1,beta
12,1,beta
12,1,beta
0,10,endothelial
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
6,2,acinar
9,6,delta
12,1,beta
12,1,beta
4,5,ductal
4,5,ductal
12,1,beta
5,0,alpha
12,1,beta
12,1,beta
4,5,ductal
5,0,alpha
1,7,activated_stellate
12,1,beta
5,0,alpha
4,5,ductal
9,6,delta
5,0,alpha
8,9,gamma
12,1,beta
1,7,activated_stellate
7,11,ductal
5,0,beta
12,1,beta
1,7,activated_stellate
12,1,beta
9,6,delta
1,7,activated_stellate
12,1,beta
8,9,gamma
12,1,beta
12,4,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
5,0,alpha
9,6,epsilon
1,7,activated_stellate
12,1,beta
5,0,alpha
7,11,ductal
5,0,alpha
12,1,beta
12,4,beta
9,6,delta
4,5,ductal
12,1,beta
5,0,alpha
9,6,delta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,4,beta
1,7,activated_stellate
5,0,alpha
12,4,beta
4,5,ductal
9,6,delta
5,3,alpha
5,0,alpha
12,4,beta
12,1,beta
12,4,beta
9,6,delta
5,0,alpha
12,4,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,1,beta
5,3,alpha
12,4,beta
8,9,gamma
12,1,beta
1,7,activated_stellate
12,1,beta
5,3,alpha
5,0,alpha
12,1,beta
12,1,beta
9,6,delta
12,1,beta
12,4,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
1,7,quiescent_stellate
4,5,ductal
7,11,ductal
9,6,delta
5,0,alpha
12,1,beta
12,4,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
8,9,gamma
12,1,beta
12,1,beta
8,9,gamma
5,3,alpha
12,1,beta
5,0,alpha
5,3,alpha
12,1,beta
9,6,delta
12,1,beta
12,1,beta
12,4,beta
12,1,beta
0,10,endothelial
12,1,beta
1,7,quiescent_stellate
12,1,beta
12,1,beta
5,3,alpha
4,5,ductal
12,1,beta
12,1,beta
8,9,gamma
5,0,alpha
8,9,gamma
12,4,beta
12,1,beta
5,3,alpha
5,0,alpha
4,5,ductal
12,1,beta
5,3,alpha
12,1,beta
9,6,delta
4,5,ductal
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
12,1,beta
7,11,ductal
12,1,beta
5,0,alpha
12,4,beta
12,1,beta
5,3,alpha
6,2,acinar
6,2,acinar
12,1,beta
12,1,beta
12,4,beta
5,3,alpha
5,0,alpha
5,0,alpha
5,3,alpha
12,1,beta
5,0,alpha
12,1,beta
5,0,alpha
12,1,beta
12,4,beta
12,1,beta
5,0,alpha
9,6,delta
5,0,alpha
12,1,beta
12,1,beta
12,4,beta
5,3,alpha
8,9,gamma
6,2,acinar
12,1,beta
7,11,ductal
9,6,delta
12,1,beta
4,5,ductal
8,9,gamma
12,1,beta
1,7,quiescent_stellate
4,5,ductal
9,6,delta
8,9,gamma
12,1,beta
12,1,beta
12,1,beta
5,3,gamma
4,5,ductal
5,0,alpha
6,2,acinar
4,5,ductal
0,10,endothelial
5,0,alpha
0,10,endothelial
12,1,beta
12,1,beta
12,4,beta
12,1,beta
5,0,alpha
12,4,beta
4,5,ductal
7,11,ductal
12,1,beta
12,1,beta
8,9,gamma
12,1,beta
1,7,quiescent_stellate
4,5,ductal
12,4,beta
6,2,acinar
4,5,ductal
0,10,endothelial
6,2,acinar
8,9,gamma
12,4,beta
12,4,beta
1,7,quiescent_stellate
12,1,beta
12,1,beta
8,9,epsilon
12,1,beta
5,0,alpha
5,0,alpha
9,6,delta
12,4,beta
8,9,epsilon
12,1,beta
5,3,alpha
12,4,beta
12,4,beta
8,9,gamma
6,2,acinar
12,4,beta
5,0,alpha
12,1,beta
5,0,alpha
4,5,ductal
5,0,alpha
12,4,beta
12,4,beta
8,9,gamma
12,1,beta
12,1,beta
9,6,delta
9,6,delta
9,6,delta
1,7,quiescent_stellate
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
5,3,alpha
5,0,alpha
12,1,beta
12,1,beta
12,4,beta
5,0,alpha
12,4,beta
12,4,beta
1,7,quiescent_stellate
5,0,alpha
0,10,endothelial
8,9,gamma
12,1,beta
12,1,beta
1,7,quiescent_stellate
12,1,beta
5,0,alpha
9,6,delta
12,1,beta
6,2,acinar
12,1,beta
0,10,endothelial
0,10,endothelial
12,1,beta
12,1,beta
5,0,alpha
12,1,beta
3,13,mast
12,1,beta
5,3,alpha
0,10,endothelial
5,0,beta
12,1,beta
12,1,beta
0,10,endothelial
9,6,alpha
12,1,beta
12,1,beta
12,1,beta
12,4,beta
5,3,alpha
3,13,mast
12,1,beta
8,9,epsilon
0,10,endothelial
1,7,quiescent_stellate
5,3,alpha
1,7,alpha
9,6,beta
12,1,beta
6,2,acinar
9,6,delta
6,2,acinar
12,1,beta
12,1,beta
0,10,endothelial
12,1,beta
10,12,macrophage
6,2,acinar
1,7,quiescent_stellate
12,1,beta
12,1,beta
12,1,beta
0,10,endothelial
12,4,beta
12,1,beta
4,5,ductal
12,4,beta
12,4,beta
1,7,quiescent_stellate
12,1,beta
6,2,acinar
12,4,beta
9,6,delta
12,4,beta
12,1,beta
12,1,beta
12,4,beta
1,7,quiescent_stellate
5,0,alpha
0,10,endothelial
12,1,beta
9,6,delta
8,9,gamma
12,1,beta
1,7,quiescent_stellate
0,10,endothelial
5,0,alpha
12,1,beta
7,11,ductal
12,1,beta
12,1,beta
12,1,beta
1,7,quiescent_stellate
12,4,beta
8,9,epsilon
5,0,beta
6,2,beta
5,0,alpha
12,4,beta
0,10,endothelial
0,10,endothelial
1,7,quiescent_stellate
12,4,beta
12,1,beta
9,6,epsilon
1,7,quiescent_stellate
12,1,beta
3,13,mast
